Word,Occurances,IsName
"WorldCupFinal,WorldCup,CRO,FRACRO",2,false
"Croatia,WorldCup,Russia2018,Football,CRO,DEN,CroatiavsDenmark",2,false
"worldcup,138africa",3,false
"BEL,fra,FRABEL,WorldCup",2,false
"Maradona,Arg,FifaWorldCup2018",2,false
"WorldCup,DEN,Denmark,CRODEN",2,false
lawlessfrench,2,false
"BRA,FRA,BEL,WorldCup,Chelsea,NoChelseaPlayersNoParty",2,false
Sterling,2,false
"WorldCup,TasteTheGoal,myparoles,FRABEL",2,false
"Kweseiflix,WorldCup,CROENG",3,false
"WorldCup,COLENG,ThreeLions",4,false
"Worldcup,WorldCupRussia2018,Putin,FranceCroatia,france",2,false
"WorldCup,ChoiceFandom,TeenChoice,ChoiceInternationalArtist",4,false
"FRABEL,bel,WorldCup",2,false
"WorldCup,Russia2018,Southgate,England,Russia2018WorldCup",2,false
"CroEng,EngCro,Eng,Cro,England,ThreeLions,WORLDCUP",3,false
"WorldCup,ENG,Fra",2,false
"worldcup,WorldCupFinal,bbcworldcup,CNN",2,false
"ViveLeFrance,France,WorldCup",2,false
"Staytuned,WorldCup,Sportsmanship",2,false
"Worldcup,BRABEL",2,false
"BREAKING,NEWS,ICYMI,CraftBeer,Review,BELENG,WorldCupFinal,weekend",2,false
"Belgium,LightUpTheWorld,WorldCup,Hazard,Belgium",2,false
"FRAARG,FRA,ARG,WorldCup,WorldCup2018,messi",2,false
"WorldCup,England,proud,webelieve",2,false
"FRA,CRO,LesBleus,WorldCup",2,false
"WorldCup,FRA,BRA,CRO,ENG,BEL,URU,RUS,COL,SUI,SWE,MEX,JPN",2,false
"France,Argentina,WC1978,WorldCup,FRAARG,francevsargentina,FranceArgentina",2,false
"Bordeaux,France,WorldCup",2,false
"WorldCupFinal,FRA,CRO,WorldCup",6,false
"WorldCup,FRAKRO",42,false
"CRODEN,BRAMEX,ElTriEng,bra,worldcup,TwoOnTri",2,false
"footieball,worldcup,penalties",2,false
AEAwards,2,false
"ENGCRO,WorldCup,ENG",30,false
"CRO,URU,WorldCup",2,false
"ARG,POR,WorldCup,WorldCup2018",2,false
"WorldCup,itscominghome,England",2,false
"WorldCup,ENG,ENGCRO,CROENG,CRO,ItsComingHome,ThreeLions",2,false
"showracismtheredcard,ENG,WorldCup",2,false
"WorldCup,bbcworldcup,ENG,ENGCRO",2,false
"ShakespeareSunday,WorldCup,neymarrolling",2,false
"judibola,parlay,tipsbola,prediksibola,pialadunia,tebakskor,WorldCup",3,false
"BreakingNews,WorldCup",2,false
"WorldCup,WorldCupRussia2018,FranciaVsCroacia,Griezmann,FRAKRO,fra,CRO,FiersdetreBleus,hananeelkhader,Music,Video,challenge,YouTube",3,false
"Belgium,France,worldcup",2,false
"WorldCup,CraftBeer,CRODEN",4,false
"futbolife,wags,isco",2,false
"Mbappe,WorldCup,WorldCup2018,Russia,Russia2018,FranciaArgentina,FRA,ARG,FRARG,ARGFRA,Messi,LionelMessi,KylianMbappe,France,Argentina",2,false
HimalayaPredict2Win,3,false
"SPIKESN,Sweden,Switzerland,Russia2018,WorldCup,SWESUI,SWE,SUI",3,false
"FranceBelgique,WorldCup,FRABEL,FIFAWorldCup",2,false
"Croatia,WorldCup,Semifinal",2,false
"WorldCup,politidk",2,false
"worldcup,Brazil,BRAMEX",2,false
"France,ARG,FRAARG,francevsargentina,fra,ARG,WorldCup",2,false
"Perisic,CRO,WorldCup,CROENG,CROvENG",2,false
"WorldCup,FirstSpainNowDenmark",2,false
"Croatia,Eng,WorldCup,engcro",2,false
"bcfc,worldcup,clubandcountry",2,false
"WorldCup,swfc,wawaw",2,false
"LayLeague,PowerByEXO,WorldCup",9,false
"ESPRUS,CRODEN,worldcup,RUS",2,false
"PortugalvsUruguay,worldcup,Ronaldo,disgrace,FU",2,false
"CRODAN,WorldCup,pens",2,false
"FIFAWC2018,WorldCup",3,false
"WorldCup,FIFA,Football,ESP,Spain,RUSESP",9,false
"WorldCup,LiberalsAreNotLeftists,RepublicansInDrag,WorldCup2018",2,false
"WorldCup,ENGCOL,CROENG,ENG,ItsCominHome,CRO,England,WorldCup2018,EnglandvsCroatia,Wimbeldon,ThreeLions,Rusia2018,Croatia,WorldCupRussia2018,Stream,Streaming,Gaming,Fortnite,Xbox,Twitch,Broadcasting,NBA,MLB,FreeSlurpee",2,false
"FRACRO,OptusSport,WorldCup",19,false
"worldcup,Frakro",2,false
"France,WorldCupFinal,WorldCup,FRACRO",3,false
"FollowBack,IFB,njpw,wrestling,WorldCup,Bramex,beljap",2,false
"WorldCup,RussiaBeatsSpain,FullShootoutVideo,CanadaDay,Genius,KanyeWest",2,false
"WorldCup,CelebrateAfrica",3,false
"Messi,Ronaldo,Neymar,Griezmann,Mbappe,worldcup,France,WorldCupFinal,FRA,WorldChamp",2,false
"CRODAN,CRO,DEN,WorldCup",2,false
"LaLigaWorldCup,WorldCup,ARGFRA",2,false
